run_id,mode,baseline,task_id,split,language,group,selected_role,selected_model,quality,target_cost_usd,router_cost_usd,total_cost_usd,latency_ms,router_latency_ms,target_latency_ms,ttft_ms,fallback,error,route_rule,output_text,usage
20260919T165242Z,fixture,always_strong,demo-003,test,en,extraction_classification,strong,gpt-5.6-sol,1.0,0.00036,0.0,0.00036,311.0,0.0,311.0,,False,,fixed_strong,"{""city"":""İzmir"",""country"":""TR""}","{""cached_input_tokens"": 0, ""input_tokens"": 50, ""output_tokens"": 8}"
20260919T165242Z,fixture,always_strong,demo-004,test,en,extraction_classification,strong,gpt-5.6-sol,1.0,0.000268,0.0,0.000268,328.0,0.0,328.0,,False,,fixed_strong,neutral,"{""cached_input_tokens"": 0, ""input_tokens"": 52, ""output_tokens"": 3}"
20260919T165242Z,fixture,always_strong,demo-007,test,en,translation_summary,strong,gpt-5.6-sol,1.0,0.000412,0.0,0.000412,289.0,0.0,289.0,,False,,fixed_strong,Could you please send the report now?,"{""cached_input_tokens"": 0, ""input_tokens"": 58, ""output_tokens"": 9}"
20260919T165242Z,fixture,always_strong,demo-008,test,en,translation_summary,strong,gpt-5.6-sol,0.75,0.00054,0.0,0.00054,306.0,0.0,306.0,,False,,fixed_strong,"Revenue grew faster than costs, improving the operating margin.","{""cached_input_tokens"": 0, ""input_tokens"": 60, ""output_tokens"": 15}"
20260919T165242Z,fixture,always_strong,demo-011,test,en,general_qa,strong,gpt-5.6-sol,1.0,0.000344,0.0,0.000344,267.0,0.0,267.0,,False,,fixed_strong,Ursula K. Le Guin,"{""cached_input_tokens"": 0, ""input_tokens"": 66, ""output_tokens"": 4}"
20260919T165242Z,fixture,always_cheap,demo-003,test,en,extraction_classification,cheap,gpt-5.6-luna,0.5,1.84e-05,0.0,1.84e-05,166.0,0.0,166.0,,False,,fixed_cheap,"{""city"":""Izmir"",""country"":""TR""}","{""cached_input_tokens"": 0, ""input_tokens"": 50, ""output_tokens"": 7}"
20260919T165242Z,fixture,always_cheap,demo-004,test,en,extraction_classification,cheap,gpt-5.6-luna,0.0,1.4e-05,0.0,1.4e-05,183.0,0.0,183.0,,False,,fixed_cheap,negative,"{""cached_input_tokens"": 0, ""input_tokens"": 52, ""output_tokens"": 3}"
20260919T165242Z,fixture,always_cheap,demo-007,test,en,translation_summary,cheap,gpt-5.6-luna,1.0,1.88e-05,0.0,1.88e-05,144.0,0.0,144.0,,False,,fixed_cheap,Please send the report now.,"{""cached_input_tokens"": 0, ""input_tokens"": 58, ""output_tokens"": 6}"
20260919T165242Z,fixture,always_cheap,demo-008,test,en,translation_summary,cheap,gpt-5.6-luna,1.0,2.4e-05,0.0,2.4e-05,161.0,0.0,161.0,,False,,fixed_cheap,Revenue and costs rose; margin improved.,"{""cached_input_tokens"": 0, ""input_tokens"": 60, ""output_tokens"": 10}"
20260919T165242Z,fixture,always_cheap,demo-011,test,en,general_qa,cheap,gpt-5.6-luna,0.0,1.6800000000000002e-05,0.0,1.6800000000000002e-05,122.0,0.0,122.0,,False,,fixed_cheap,Ursula Le Guin,"{""cached_input_tokens"": 0, ""input_tokens"": 66, ""output_tokens"": 3}"
20260919T165242Z,fixture,rule,demo-003,test,en,extraction_classification,cheap,gpt-5.6-luna,0.5,1.84e-05,0.0,1.84e-05,166.0,0.0,166.0,,False,,rule_pattern_cheap,"{""city"":""Izmir"",""country"":""TR""}","{""cached_input_tokens"": 0, ""input_tokens"": 50, ""output_tokens"": 7}"
20260919T165242Z,fixture,rule,demo-004,test,en,extraction_classification,cheap,gpt-5.6-luna,0.0,1.4e-05,0.0,1.4e-05,183.0,0.0,183.0,,False,,rule_pattern_cheap,negative,"{""cached_input_tokens"": 0, ""input_tokens"": 52, ""output_tokens"": 3}"
20260919T165242Z,fixture,rule,demo-007,test,en,translation_summary,cheap,gpt-5.6-luna,1.0,1.88e-05,0.0,1.88e-05,144.0,0.0,144.0,,False,,rule_pattern_cheap,Please send the report now.,"{""cached_input_tokens"": 0, ""input_tokens"": 58, ""output_tokens"": 6}"
20260919T165242Z,fixture,rule,demo-008,test,en,translation_summary,cheap,gpt-5.6-luna,1.0,2.4e-05,0.0,2.4e-05,161.0,0.0,161.0,,False,,rule_pattern_cheap,Revenue and costs rose; margin improved.,"{""cached_input_tokens"": 0, ""input_tokens"": 60, ""output_tokens"": 10}"
20260919T165242Z,fixture,rule,demo-011,test,en,general_qa,cheap,gpt-5.6-luna,0.0,1.6800000000000002e-05,0.0,1.6800000000000002e-05,122.0,0.0,122.0,,False,,rule_pattern_cheap,Ursula Le Guin,"{""cached_input_tokens"": 0, ""input_tokens"": 66, ""output_tokens"": 3}"
20260919T165242Z,fixture,random_matched,demo-003,test,en,extraction_classification,cheap,gpt-5.6-luna,0.5,1.84e-05,0.0,1.84e-05,166.0,0.0,166.0,,False,,seeded_random_at_0.000,"{""city"":""Izmir"",""country"":""TR""}","{""cached_input_tokens"": 0, ""input_tokens"": 50, ""output_tokens"": 7}"
20260919T165242Z,fixture,random_matched,demo-004,test,en,extraction_classification,cheap,gpt-5.6-luna,0.0,1.4e-05,0.0,1.4e-05,183.0,0.0,183.0,,False,,seeded_random_at_0.000,negative,"{""cached_input_tokens"": 0, ""input_tokens"": 52, ""output_tokens"": 3}"
20260919T165242Z,fixture,random_matched,demo-007,test,en,translation_summary,cheap,gpt-5.6-luna,1.0,1.88e-05,0.0,1.88e-05,144.0,0.0,144.0,,False,,seeded_random_at_0.000,Please send the report now.,"{""cached_input_tokens"": 0, ""input_tokens"": 58, ""output_tokens"": 6}"
20260919T165242Z,fixture,random_matched,demo-008,test,en,translation_summary,cheap,gpt-5.6-luna,1.0,2.4e-05,0.0,2.4e-05,161.0,0.0,161.0,,False,,seeded_random_at_0.000,Revenue and costs rose; margin improved.,"{""cached_input_tokens"": 0, ""input_tokens"": 60, ""output_tokens"": 10}"
20260919T165242Z,fixture,random_matched,demo-011,test,en,general_qa,cheap,gpt-5.6-luna,0.0,1.6800000000000002e-05,0.0,1.6800000000000002e-05,122.0,0.0,122.0,,False,,seeded_random_at_0.000,Ursula Le Guin,"{""cached_input_tokens"": 0, ""input_tokens"": 66, ""output_tokens"": 3}"
20260919T165242Z,fixture,jev,demo-003,test,en,extraction_classification,cheap,gpt-5.6-luna,0.5,1.84e-05,9.912000000000001e-06,2.8312000000000003e-05,193.0,27.0,166.0,,False,,strong_probability_lt_0.680,"{""city"":""Izmir"",""country"":""TR""}","{""cached_input_tokens"": 0, ""input_tokens"": 50, ""output_tokens"": 7}"
20260919T165242Z,fixture,jev,demo-004,test,en,extraction_classification,cheap,gpt-5.6-luna,0.0,1.4e-05,1.0374000000000001e-05,2.4374e-05,211.0,28.0,183.0,,False,,strong_probability_lt_0.680,negative,"{""cached_input_tokens"": 0, ""input_tokens"": 52, ""output_tokens"": 3}"
20260919T165242Z,fixture,jev,demo-007,test,en,translation_summary,cheap,gpt-5.6-luna,1.0,1.88e-05,9.324e-06,2.8123999999999997e-05,168.0,24.0,144.0,,False,,strong_probability_lt_0.680,Please send the report now.,"{""cached_input_tokens"": 0, ""input_tokens"": 58, ""output_tokens"": 6}"
20260919T165242Z,fixture,jev,demo-008,test,en,translation_summary,cheap,gpt-5.6-luna,1.0,2.4e-05,1.0038e-05,3.4038e-05,186.0,25.0,161.0,,False,,strong_probability_lt_0.680,Revenue and costs rose; margin improved.,"{""cached_input_tokens"": 0, ""input_tokens"": 60, ""output_tokens"": 10}"
