run_id,mode,baseline,task_id,split,language,group,selected_role,selected_model,quality,target_cost_usd,router_cost_usd,total_cost_usd,latency_ms,router_latency_ms,target_latency_ms,ttft_ms,fallback,error,route_rule,output_text,usage,router_usage,target_cost_source,router_cost_source,target_generation_id,router_generation_id,target_provider,router_provider,jev_choice,jev_strong_probability,jev_confidence,jev_task_type
20260919T171750Z,live,always_strong,live-001,test,tr,multi_step_reasoning,strong,openai/gpt-5.6-sol,1.0,0.000332,0.0,0.000332,1525.8222089978517,0.0,1525.8222089978517,1431.37937499705,False,,fixed_strong,4/5,"{""cached_input_tokens"": 0, ""input_tokens"": 131, ""output_tokens"": 7}","{""cached_input_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 0}",provider_reported,calculated_from_usage,gen-1789838275-kgzPhwjtKnnLzj7YokHv,,OpenAI,,,,,
20260919T171750Z,live,always_strong,live-002,test,en,multi_step_reasoning,strong,openai/gpt-5.6-sol,1.0,0.000202,0.0,0.000202,4097.161833000428,0.0,4097.161833000428,3846.5186249995895,False,,fixed_strong,157,"{""cached_input_tokens"": 0, ""input_tokens"": 76, ""output_tokens"": 5}","{""cached_input_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 0}",provider_reported,calculated_from_usage,gen-1789838279-6LbV4H4ngjNWMWhLNLaB,,OpenAI,,,,,
20260919T171750Z,live,always_strong,live-003,test,en,constraint_reasoning,strong,openai/gpt-5.6-sol,1.0,0.000248,0.0,0.000248,1478.5077500018815,0.0,1478.5077500018815,1276.0851249986445,False,,fixed_strong,ACDEBF,"{""cached_input_tokens"": 0, ""input_tokens"": 89, ""output_tokens"": 7}","{""cached_input_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 0}",provider_reported,calculated_from_usage,gen-1789838281-rdfJ8WHkzs2xA1AFq6Xr,,OpenAI,,,,,
20260919T171750Z,live,always_strong,live-004,test,tr,combinatorics,strong,openai/gpt-5.6-sol,1.0,0.000188,0.0,0.000188,1667.66591600026,0.0,1667.66591600026,1496.3416249993315,False,,fixed_strong,20,"{""cached_input_tokens"": 0, ""input_tokens"": 69, ""output_tokens"": 5}","{""cached_input_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 0}",provider_reported,calculated_from_usage,gen-1789838283-Ue3f3n5xqZThcKCk1tbM,,OpenAI,,,,,
20260919T171750Z,live,always_strong,live-005,test,en,coding,strong,openai/gpt-5.6-sol,1.0,0.002064,0.0,0.002064,2889.8677920005866,0.0,2889.8677920005866,1244.220167001913,False,,fixed_strong,"def longest_run(items):
    iterator = iter(items)
    try:
        current = next(iterator)
    except StopIteration:
        return (None, 0, -1)

    best_value = current
    best_length = 1
    best_start = 0

    current_length = 1
    current_start = 0

    for index, value in enumerate(iterator, 1):
        if value == current:
            current_length += 1
        else:
            if current_length > best_length:
                best_value = current
                best_length = current_length
                best_start = current_start
            current = value
            current_length = 1
            current_start = index

    if current_length > best_length:
        best_value = current
        best_length = current_length
        best_start = current_start

    return (best_value, best_length, best_start)","{""cached_input_tokens"": 0, ""input_tokens"": 92, ""output_tokens"": 188}","{""cached_input_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 0}",provider_reported,calculated_from_usage,gen-1789838284-QG3m2orVJEtK33b01vDy,,OpenAI,,,,,
20260919T171750Z,live,always_strong,live-006,test,tr,coding,strong,openai/gpt-5.6-sol,1.0,0.001186,0.0,0.001186,2463.8820000000123,0.0,2463.8820000000123,1809.7686660003092,False,,fixed_strong,"def merge_intervals(intervals):
    sorted_intervals = sorted((min(a, b), max(a, b)) for a, b in intervals)

    merged = []
    for start, end in sorted_intervals:
        if not merged or start > merged[-1][1]:
            merged.append((start, end))
        else:
            merged[-1] = (merged[-1][0], max(merged[-1][1], end))

    return merged","{""cached_input_tokens"": 0, ""input_tokens"": 98, ""output_tokens"": 99}","{""cached_input_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 0}",provider_reported,calculated_from_usage,gen-1789838287-icw7Jmx91ZuYOo26caGV,,OpenAI,,,,,
20260919T171750Z,live,always_strong,live-007,test,en,coding,strong,openai/gpt-5.6-sol,1.0,0.00208,0.0,0.00208,2722.5599580015114,0.0,2722.5599580015114,958.8766660017427,False,,fixed_strong,"def deep_merge(left, right):
    def clone(value):
        if isinstance(value, dict):
            return {clone(key): clone(item) for key, item in value.items()}
        if isinstance(value, list):
            return [clone(item) for item in value]
        return value

    if not isinstance(left, dict) or not isinstance(right, dict):
        return clone(right)

    result = {}
    for key, value in left.items():
        if key in right:
            right_value = right[key]
            if isinstance(value, dict) and isinstance(right_value, dict):
                result[clone(key)] = deep_merge(value, right_value)
            else:
                result[clone(key)] = clone(right_value)
        else:
            result[clone(key)] = clone(value)

    for key, value in right.items():
        if key not in left:
            result[clone(key)] = clone(value)

    return result","{""cached_input_tokens"": 0, ""input_tokens"": 80, ""output_tokens"": 192}","{""cached_input_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 0}",provider_reported,calculated_from_usage,gen-1789838290-GdeySfo1Qcn7ddieJNIo,,OpenAI,,,,,
20260919T171750Z,live,always_strong,live-008,test,tr,structured_extraction,strong,openai/gpt-5.6-sol,1.0,0.000784,0.0,0.000784,3562.6060419999703,0.0,3562.6060419999703,3151.2182090009446,False,,fixed_strong,"{""date"":""2026-10-15"",""time"":""11:15"",""timezone"":""Europe/Istanbul"",""duration_minutes"":75,""required"":[""Ada""],""optional"":[""Lin""],""cancelled"":false}","{""cached_input_tokens"": 0, ""input_tokens"": 162, ""output_tokens"": 46}","{""cached_input_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 0}",provider_reported,calculated_from_usage,gen-1789838294-Kh2TFQhd0w9a4KZoQ6Za,,OpenAI,,,,,
20260919T171750Z,live,always_strong,live-009,test,en,instruction_following,strong,openai/gpt-5.6-sol,1.0,0.000736,0.0,0.000736,1620.7349579999573,0.0,1620.7349579999573,989.1592919993855,False,,fixed_strong,"{""eligible"":false,""failed_rules"":[""trust""],""explanation"":""The record meets the region and risk rules but fails the trust rule because it is not verified and the account age is below 365 days.""}","{""cached_input_tokens"": 0, ""input_tokens"": 133, ""output_tokens"": 47}","{""cached_input_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 0}",provider_reported,calculated_from_usage,gen-1789838296-6VTNJFE8t1fftoo2Noon,,OpenAI,,,,,
20260919T171750Z,live,always_strong,live-010,test,tr,translation_summary,strong,openai/gpt-5.6-sol,1.0,0.000498,0.0,0.000498,1500.6998750031926,0.0,1500.6998750031926,1291.1064580002858,False,,fixed_strong,"The team agreed to move the deadline up, but only if the security review is completed by Friday and the scope is not expanded again.","{""cached_input_tokens"": 0, ""input_tokens"": 94, ""output_tokens"": 31}","{""cached_input_tokens"": 0, ""input_tokens"": 0, ""output_tokens"": 0}",provider_reported,calculated_from_usage,gen-1789838298-8AuRBMuR8BiYLBNMxCSb,,OpenAI,,,,,
